platform,category,status,status_icon,method,detail,url,evidence,notes,date_checked
Apache ECharts (world map),data_visualization,n/a,➖,source_code,"Crimea classified as: not_mentioned. ECharts is Apache's data viz library, widely used in China and globally.",https://raw.githubusercontent.com/apache/echarts/master/test/data/map/json/world.json,,,2026-03-31
"Apache ECharts (world map, deep)",data_visualization,ambiguous,⚠️,automated_data,World.json: Both Russia AND Ukraine polygons contain coordinates near 34.x longitude (Crimea region). Possible overlapping geometry. ECharts is Chinese-origin (Baidu/Apache); China abstained on UNGA 68/262. 2.3M weekly npm downloads.,https://github.com/apache/echarts,Russia and Ukraine features both contain 34.x lon coordinates.,,2026-03-31
Cartopy (SciTools),data_visualization,incorrect,❌,source_code,"Downloads Natural Earth at runtime. Default 1:110m scale assigns Crimea to Russia. No POV option exposed. Used in climate science, meteorology, earth sciences. ~2-3M monthly PyPI downloads. No issue filed yet.",https://github.com/SciTools/cartopy,,,2026-03-31
D3 world-atlas (110m),data_visualization,incorrect,❌,automated_data,"Uses Natural Earth 110m as source. Since NE assigns Crimea to Russia's polygon, D3 world-atlas inherits this. Standard package for D3.js choropleth maps.",https://unpkg.com/world-atlas@2.0.2/countries-110m.json,,"world-atlas uses ISO numeric country IDs (RU=643, UA=804). Crimea's geometry is within Russia's arcs.",2026-03-31
D3 world-atlas (50m),data_visualization,incorrect,❌,automated_data,"Uses Natural Earth 50m as source. Since NE assigns Crimea to Russia's polygon, D3 world-atlas inherits this. Standard package for D3.js choropleth maps.",https://unpkg.com/world-atlas@2.0.2/countries-50m.json,,"world-atlas uses ISO numeric country IDs (RU=643, UA=804). Crimea's geometry is within Russia's arcs.",2026-03-31
GeoPandas (naturalearth_lowres),data_visualization,correct,✅,source_code,Was incorrect until v0.12.2 (2022). GitHub issue #2382 reported Crimea shown as Russian. PR #2670 fixed it. Datasets module deprecated and removed in v1.0 (2024). ~15M monthly PyPI downloads. Legacy versions still propagate error.,https://github.com/geopandas/geopandas/issues/2382,,Fixed upstream but legacy tutorials still show incorrect maps.,2026-03-31
Highcharts Maps (Russia map),data_visualization,correct,✅,automated_data,Russia map excludes Crimea/Sevastopol regions.,https://code.highcharts.com/mapdata/countries/ru/ru-all.geo.json,Crimea/Sevastopol found: False,,2026-03-31
Highcharts Maps (Ukraine map),data_visualization,correct,✅,automated_data,Ukraine map includes Crimea/Sevastopol regions.,https://code.highcharts.com/mapdata/countries/ua/ua-all.geo.json,Crimea/Sevastopol found: True,,2026-03-31
Plotly,data_visualization,ambiguous,⚠️,source_code,GitHub issue #2903 (Crimea shown as Russia in choropleth): state=closed. Plotly inherits Natural Earth de facto boundaries. Default choropleth maps show Crimea as part of Russia.,https://github.com/plotly/plotly.py/issues/2903,,Plotly is one of the most popular data viz libraries (~40M monthly pip downloads).,2026-03-31
npm: d3-geo (dependents),data_visualization,ambiguous,⚠️,automated_api,"D3 geo projection (renders NE-sourced maps). 13,448,446 weekly npm downloads. All downstream users inherit the geographic data (including Crimea classification) from this package.",https://www.npmjs.com/package/d3-geo,,Downstream propagation metric.,2026-03-31
