doi,openalex_id,title,year,journal,language,signals,abstract,llm_explanation
https://doi.org/10.18522/2227-8656.2020.4.11,https://openalex.org/W3095242018,ETHNOPOLITICAL FACTORS OF INTERNAL MIGRATION IN THE REPUBLIC OF CRIMEA,2020,HUMANITIES OF THE SOUTH OF RUSSIA,en,REPUBLIC OF CRIMEA,"Recently, internal migration processes have been of particular importance for the development and functioning of the Crimean Peninsula. Since 2014, Crimea has been increasingly attracting migrants from other regions of Russia. When considering the ethnopolitical situation in Crimea and ethnic migrat","RUSSIA: The paper uses ""Republic of Crimea"" as the default administrative designation and notes that ""since 2014, Crimea has been increasingly attracting migrants from other regions of Russia,"" treati"
https://doi.org/10.1134/s0031030120010116,https://openalex.org/W3012106374,"Early Pleistocene Spiral-Horned Antelopes (Artiodactyla, Bovidae) from the Taurida Cave (Crimea, Russia)",2020,Paleontological Journal,en,"Crimea, Russia","The article describes fossil remains of two spiral-horned antelope species Gazellospira torticornis (Aymard, 1854) and Pontoceros ambiguus Vereschagin, Alexejeva, David et Baigusheva, 1971 which were found in 2018 in the Lower Pleistocene sediments of the Taurida Cave in Central Crimea. These finds ","RUSSIA

The paper frames Crimea as Russian territory by using ""Crimea, Russia"" as the default geographic descriptor without qualification, alternative framing, or acknowledgment of disputed sovereignt"
https://doi.org/10.17116/terarkh20178911100-104,https://openalex.org/W2778335039,Clinical and epidemiological features of visceral leishmaniasis in the Republic of Crimea,2017,Terapevticheskii arkhiv,en,Republic of Crimea,"The paper analyzes official statistical data, as well as visceral leishmaniasis (VL) cases who have visited the Clinical Center, I.M. Sechenov First Moscow State Medical University, and the results of parasitological studies of the materials submitted to the Reference Center for Monitoring of Leishm","RUSSIA

The paper uses ""Republic of Crimea"" as the default administrative designation and conducts research through Russian federal institutions (Sechenov Moscow State Medical University, Russian Refe"
https://doi.org/10.17589/2309-8678-2018-6-3-79-99,https://openalex.org/W2889427485,The Free Economic Zone of the Republic of Crimea and the Federal City of Sevastopol,2018,Russian Law Journal,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","Free economic zones have become an essential part of the world economy in recent history. The voluntary entry of the Peninsula of Crimea into the Russian Federation as one of its constituent regions, lead to the adoption of the social and economic development commitments of this region by our state.","RUSSIA

The paper frames Crimea as Russian territory by referring to it as the ""Republic of Crimea"" as a Russian constituent region and describes its incorporation as ""voluntary entry...into the Russi"
https://doi.org/10.23934/2223-9022-2020-9-3-338-347,https://openalex.org/W3094054144,Out-of-hospital Cardiac Arrest in the Republic of Crimea: Analysis of Epidemiology and Practice of Care,2020,Russian Sklifosovsky Journal Emergency Medical Care,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea",Introduction . Efficient organization of measures aimed at decreasing mortality from out-of-hospital cardiac arrest (OHCA) warrants a clear understanding of OHCA epidemiology and performance of the prehospital care system in such cases. The study was aimed at performing respective analysis and ident,"RUSSIA

The paper uses ""Republic of Crimea"" as the default administrative designation and publishes in a Russian medical journal, treating Crimea's governmental and medical infrastructure as part of R"
https://doi.org/10.1134/s0097807817070053,https://openalex.org/W2794401146,Water Resources of the Crimea,2017,Water Resources,en,Republic of Crimea,"Crimean water resources are limited, failing to fully meet the drinking and economic needs of the region. Over 50 years, the problems of water resources in Crimea were solved by using Dnieper water supplied through North-Crimean Canal; however, after the integration of Crimea into Russia, Ukraine su","RUSSIA

The paper uses ""Republic of Crimea"" (the Russian administrative designation) as the default framing and describes the 2014 event as ""integration of Crimea into Russia"" rather than ""annexation"""
https://doi.org/10.17589/2309-8678-2015-3-1-133-142,https://openalex.org/W2051964091,Republic of Crimea: a Two-Day State,2015,Russian Law Journal,en,"Republic of Crimea, Republic of Crimea","The Crimean situation has put self-determination, secession and accession back at the top of the international law agenda. The article deals with questions of the procedure of Crimea’s self-determination and accession to the Russian Federation from the point of view of international law. Special att","RUSSIA

The paper's title designates the territory as ""Republic of Crimea"" (the Russian constitutional designation) rather than ""Crimea, Ukraine,"" and it analyzes the ""procedure of Crimea's self-deter"
https://doi.org/10.14341/ket12700,https://openalex.org/W3170757412,Iodine Deficiency Disorders: Current State of the Problem in the Republic of Crimea,2021,Clinical and experimental thyroidology,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","Background: The article presents the results of a control and epidemiological study conducted in September 2020 by specialists of the Federal State Budgetary Institution «NMIC of Endocrinology» of the Ministry of Health of Russia, aimed at assessing the current state of iodine provision in the popul","RUSSIA

The paper consistently refers to ""Republic of Crimea"" as a standalone administrative entity under Russian Ministry of Health jurisdiction, describes research as conducted ""on behalf of the Min"
https://doi.org/10.1093/chinesejil/jmu036,https://openalex.org/W1969429970,Reunification of Crimea with Russia: A Russian Perspective,2014,Chinese Journal of International Law,en,Reunification of Crimea,"This Journal recently published Rein Müllerson's article, Ukraine: Victim of Geopolitics.1 This letter aims to follow up on that theme and consider it from some other perspectives. 1. The principle of the right of nations to self-determination includes the right to secession only for those nations t","RUSSIA

The paper's title uses ""Reunification of Crimea with Russia"" as the default framing, presenting the 2014 incorporation as a restoration rather than annexation, and the abstract immediately eng"
https://doi.org/10.35595/2414-9179-2021-4-27-273-291,https://openalex.org/W3214410493,Mapping of transformation processes in the ethnodemographic space of the Crimea,2021,InterCarto InterGIS,en,Republic of Crimea,"The article presents and summarizes the results of mapping transformational processes in the demographic and ethno-confessional space of the Crimea. Map plots reflect the options for visualizing data on demographic, ethnic and religious processes in the Republic of Crimea and the city of Sevastopol ","RUSSIA

The paper uses ""Republic of Crimea"" as the default administrative designation and appears published in a Russian academic journal, treating Crimea's Russian political status as the baseline fr"
https://doi.org/10.3103/s0003701x19040042,https://openalex.org/W2985861751,Improvement of Methods for Predicting the Generation Capacity of Solar Power Plants: the Case of the Power Systems in the Republic of Crimea and City of Sevastopol,2019,Applied Solar Energy,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","The construction and operation of large solar power plants (SPPs) and the dependence of their production on light and other meteorological factors leads to a strong dependence of the operation modes of the Republic of Crimea and Sevastopol power system on meteorological factors. Today, given that th","RUSSIA

The paper consistently uses the administrative designation ""Republic of Crimea"" as the primary territorial reference without qualification, geographic modifier (such as ""Crimea, Ukraine""), or "
https://doi.org/10.29039/2070-8092-2020-23-4-27-32,https://openalex.org/W4307166920,DYNAMICS OF THE INCIDENCE OF THE DOWN SYNDROME IN THE REPUBLIC OF THE CRIMEA,2022,Tavricheskiy Mediko-Biologicheskiy Vestnik,en,Republic of Crimea,"In this work, we determined and studied the incidence of Down syndrome (DS) in the Republic of Crimea (RC) over a ten-year period (2011-2020). To do this, we analyzed the annual birth rate data in the region and 478 registered cases of DS (249 newborns and 229 eliminated fetuses with the established","RUSSIA

The paper uses ""Republic of Crimea"" as the default administrative designation without qualification, qualifier, or acknowledgment of contested sovereignty, which aligns with post-2014 Russian "
https://doi.org/10.17589/2309-8678-2017-5-3-29-68,https://openalex.org/W2753609997,THE REUNIFICATION OF CRIMEA AND THE CITY OF SEVASTOPOL WITH THE RUSSIAN FEDERATION,2017,Russian Law Journal,en,"annexation of Crimea, illegal annex, REUNIFICATION OF CRIMEA","Crimea and the City of Sevastopol justifiably separated from Ukraine and reunified with the Russian Federation in 2014. Support for this proposition is found in historic, economic, and political reasoning. Extant principles of public international law, derived from the Treaty of Westphalia, and subs","RUSSIA

The paper uses ""reunification"" (rejecting ""annexation""), describes separation as ""justifiable,"" and presents arguments supporting Russian sovereignty claims without acknowledging Ukraine's leg"
https://doi.org/10.24189/ncr.2019.017,https://openalex.org/W2940888548,Additions to the vascular plant flora of the Karadag State Nature Reserve (Crimea),2019,Nature Conservation Research,en,Republic of Crimea,"A review of 80 vascular plant taxa is given. There are 47 species and subspecies (including five hybrids) added to the flora of the Karadag State Nature Reserve (Crimean Peninsula). Among them, 29 taxa have been reported from the Karadag Mountains for the first time and the 18 remaining taxa have al","RUSSIA

The paper uses ""Republic of Crimea"" as the default administrative designation and does not acknowledge contested sovereignty, treating Crimea's political status as settled within Russian juris"
,https://openalex.org/W2286296980,Legal aspects of the dissolution of the Soviet Union in 1991 and its implications for the reunification of crimea with Russia in 2014,2015,"Zeitschrift für ausländisches öfentliches Recht und Völkerrecht, ZAORV = Heidelberg Journal of International Law, HJIL",de,"reunification of crimea, Reunification of Crimea",Abstract This article is devoted to the examination of legal aspects of the dissolu- tion procedure (termination of existence) of the Union of the Soviet Social- ist Republics (USSR) in 1991. Based on interdisciplinary research the author investigates the legitimacy of the dissolution (termination o,"RUSSIA

The title explicitly frames the 2014 events as ""reunification of crimea with Russia"" rather than annexation or occupation, which presupposes Russian sovereignty as the baseline and characteriz"
https://doi.org/10.17059/2015-3-13,https://openalex.org/W2600024462,Structural Development of Health Resort Staff in the Republic of Crimea,2015,Economy of Regions,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","The subject matter of the research is the laws and mechanisms of development of employment in various sectors of the labor market of the Republic of Crimea. The article investigates the regional staffing structure in the development of economic activities of the Republic of Crimea, in particular, th","RUSSIA: Treats Crimea as Russian territory, uses Russian administrative names as default.

The paper consistently refers to ""Republic of Crimea"" without any qualifying language (such as ""annexed,"" ""oc"
https://doi.org/10.17223/9785946218597/2,https://openalex.org/W2999583703,Development of the creative cluster in the Republic of Crimea: global and local aspects,2019,,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","The entry of the Republic of Crimea into the Russian Federation is associated with complex integration processes in cultural, political, social, and economic aspects. Considering the special characteristics of the Crimea, it is planned to develop a number of industries and sub-sectors, united in a s","RUSSIA

The paper frames Crimea's sovereignty as Russian by referring to it as ""the Republic of Crimea"" entering ""the Russian Federation"" and planning development as part of Russian territory, without"
https://doi.org/10.15789/2220-7619-2015-2-165-170,https://openalex.org/W2178539705,THE LEVEL OF INTENSITY OF IMMUNITY TO DIPHTHERIA AND TETANUS AMONG THE POPULATION OF THE REPUBLIC OF CRIMEA,2015,Russian Journal of Infection and Immunity,en,"REPUBLIC OF CRIMEA, Republic of Crimea","Investigation of state and assessment of population immunity to diphtheria and tetanus play important role in the study of the existing epidemic situation, development of preventive measures and the prognosis of tendencies of development of epidemic process. The aim of this work was the studying of ","RUSSIA

The paper refers to ""the Republic of Crimea"" using the Russian administrative designation established post-2014, treating it as a standard territorial unit for epidemiological research without"
https://doi.org/10.26794/1999-849x-2018-11-4-125-132,https://openalex.org/W2912701012,Tax Regulation of Small Businesses in the Crimea,2018,Economics taxes & law,en,"Republic of Crimea, Republic of Crimea, Republic of Crimea","The subject of research is the role of small and medium-sized businesses in the economy of the Republic of Crimea. Since the economy of modern states cannot successfully develop without an optimal combination of the large, medium and small businesses The purpose of research was to analyze the result","RUSSIA: Treats Crimea as Russian territory, uses Russian administrative names as default.

The paper repeatedly refers to ""Republic of Crimea"" as a standard administrative entity without qualification"
https://doi.org/10.1088/1755-1315/341/1/012011,https://openalex.org/W2982848926,The study of Helianthus annuus L. of domestic breeding in arid Crimea,2019,IOP Conference Series Earth and Environmental Science,en,Republic of Crimea,"Abstract An increase in the temperature regime on the planet leads to changes in climatic conditions, as a result of which the aridity of many regions is increasing, which adversely affects, among other things, the productivity of agricultural crops. This issue is also urgent for the Republic of Cri","RUSSIA

The paper uses ""Republic of Crimea"" as the standard administrative designation without qualification, which reflects the Russian federal structure and terminology adopted after 2014, treating "
https://doi.org/10.23968/2305-3488.2019.24.2.68-81,https://openalex.org/W2966235420,WATER MANAGEMENT IN SMALL WATER-ACCUMULATING FACILITIES IN THE REPUBLIC OF CRIMEA,2019,Water and Ecology,en,REPUBLIC OF CRIMEA,"Введение: несмотря на относительно небольшие объемы аккумулируемой воды, пруды являются неотъемлемой частью водохозяйственного комплекса.Однако неправильная организация процесса их эксплуатации может свести на нет пользу от строительства этих гидротехнических сооружений и привести к повышению риска ","RUSSIA

The paper uses ""Republic of Crimea"" as its administrative designation without qualification, treating it as an established Russian political entity rather than contested territory, which align"
